31169,226,3
P-365,U5,0,0,0,88,110,95
P-165,U5,0,110,0,103,206,93
P-346,U5,0,0,95,83,95,205
P-394,U5,0,206,0,109,296,81
P-105,U5,0,110,93,80,205,196
P-211,U5,88,0,0,184,95,81
P-274,U5,88,0,93,163,88,203
P-356,U5,0,0,205,99,95,282
P-297,U5,0,206,81,103,307,149
P-134,U5,0,95,196,80,192,284
P-300,U5,0,205,149,97,274,250
P-283,U5,103,95,0,203,192,66
P-41,U5,103,88,81,207,178,149
P-145,U5,99,0,203,174,106,282
P-133,U5,109,192,0,172,301,91
P-215,U5,103,178,91,190,267,171
P-277,U5,190,192,0,244,300,105
P-333,U5,163,0,81,235,85,181
P-139,U5,97,106,171,193,190,246
P-255,U5,97,190,171,161,288,267
P-299,U5,161,190,171,244,277,251
P-142,U6,0,0,0,92,74,83
P-73,U5,174,0,181,237,104,267
P-129,U6,0,74,0,110,133,85
P-36,U6,0,133,0,86,213,78
P-282,U6,92,0,0,199,54,92
P-45,U6,0,213,0,91,285,81
P-125,U6,110,54,0,178,139,91
P-10,U6,0,0,83,88,70,168
P-20,U6,178,54,0,234,142,106
P-168,U6,0,0,168,68,87,256
P-252,U6,0,133,78,110,181,173
P-319,U6,88,0,92,190,48,193
P-50,U6,86,142,0,190,206,73
P-273,U6,0,181,81,85,260,152
P-285,U6,0,70,85,108,124,166
P-9,U6,110,48,106,183,119,194
P-82,U6,91,206,0,157,277,97
P-2,U6,0,181,152,56,280,233
P-106,U6,190,0,106,244,90,198
P-264,U6,110,119,106,170,187,214
P-219,U6,157,206,0,218,300,76
P-94,U6,170,119,106,237,217,172
P-183,U6,56,260,97,161,317,169
P-6,U6,0,87,173,91,143,257
P-157,U6,170,119,172,224,207,260
P-366,U6,68,0,194,173,56,265
P-217,U6,85,187,97,163,259,171
P-46,U6,56,207,172,127,269,266
P-124,U6,91,56,198,195,110,270
P-284,U6,127,207,172,197,317,224
P-224,U6,127,207,224,195,306,280
P-212,U5,193,104,149,241,178,254
P-295,U6,195,0,198,244,109,267
P-329,U5,184,0,0,242,94,65
P-187,U6,161,259,76,239,313,160
P-238,U6,56,143,214,158,193,283
P-350,U3,0,0,0,85,60,69
P-103,U5,0,274,149,78,318,251
P-68,U6,197,207,172,243,299,253
P-109,U3,0,60,0,98,139,44
P-163,U3,0,0,69,49,83,152
P-180,U3,0,139,0,80,210,59
P-112,U3,98,0,0,161,79,67
P-148,U6,56,269,169,123,318,269
P-126,U3,49,0,69,134,64,129
P-181,U3,0,0,152,98,58,209
P-360,U3,0,210,0,80,286,53
P-226,U3,80,139,0,140,211,74
P-136,U5,103,267,105,205,314,171
P-162,U3,161,0,0,207,104,65
P-304,U3,0,58,152,51,126,241
P-207,U3,80,211,0,150,256,95
P-17,U3,161,0,65,244,63,122
P-280,U6,190,142,0,243,203,90
P-214,U3,98,0,129,156,81,190
P-236,U3,0,210,53,56,301,109
P-266,U5,190,178,105,243,266,166
P-199,U3,80,256,0,147,314,73
P-353,U3,161,63,65,227,124,135
P-16,U3,98,0,190,191,63,238
P-23,U6,0,143,233,51,253,283
P-42,U5,161,277,171,223,318,280
P-49,U3,147,256,0,216,296,100
P-232,U3,0,83,44,67,130,128
P-222,U5,203,94,0,244,182,73
P-275,U3,51,58,129,96,132,206
P-71,U3,98,81,0,158,124,99
P-352,U3,140,124,0,229,167,66
P-15,U3,140,124,66,224,173,126
P-216,U3,96,63,190,160,146,234
P-188,U3,56,256,73,142,307,124
P-3,U6,199,0,0,241,51,101
P-69,U3,0,132,59,47,186,143
P-320,U6,0,260,81,53,317,145
P-270,U3,150,173,0,202,243,47
P-86,U6,91,277,0,156,318,63
P-117,U6,0,253,233,52,318,282
P-310,U3,191,0,122,234,59,187
P-147,U3,0,126,143,46,191,198
P-265,U3,150,173,47,197,233,105
P-345,U3,160,63,135,203,141,182
P-150,U6,163,217,76,217,259,134
P-324,U3,202,173,0,242,241,41
P-393,U3,191,0,187,235,65,234
P-385,U6,56,143,173,104,207,213
P-357,U3,47,130,74,105,186,114
P-80,U3,0,126,198,43,211,242
P-387,U3,202,173,41,244,220,137
P-206,U3,160,65,182,220,112,223
P-380,U3,47,173,124,88,229,186
P-326,U3,160,112,182,244,163,227
P-123,U3,88,173,124,131,235,164
P-272,U3,47,132,126,122,172,190
P-92,U3,131,173,124,189,231,189
P-1,U3,0,229,109,53,284,208
P-25,U3,43,132,198,96,209,242
P-221,U3,189,163,137,233,231,186
P-37,U3,142,233,100,201,309,151
P-130,U3,203,59,135,243,137,180
P-257,U3,189,163,186,240,230,240
P-202,U3,96,146,190,148,240,230
P-305,U3,189,230,186,242,293,244
P-44,U3,96,81,99,145,121,183
P-167,U3,53,240,124,100,290,224
P-85,U3,100,240,151,147,308,195
P-315,U4,0,0,0,50,75,53
P-205,U3,148,163,189,188,272,236
P-248,U4,0,75,0,77,142,52
P-291,U3,201,231,100,241,305,181
P-355,U4,0,0,53,45,60,105
P-327,U4,0,142,0,58,238,44
P-336,U4,0,75,52,49,143,124
P-75,U4,50,0,0,124,43,85
P-185,U4,0,238,0,42,305,100
P-378,U4,58,142,0,117,195,89
P-371,U4,124,0,0,215,52,48
P-26,U4,0,0,105,69,56,178
P-97,U4,42,238,0,95,291,93
P-313,U4,49,75,52,140,129,106
P-57,U4,0,56,124,83,120,183
P-230,U3,100,272,195,186,318,243
P-27,U4,95,195,0,188,257,49
P-29,U4,0,143,100,62,229,153
P-177,U4,124,0,48,168,41,147
P-258,U4,0,0,183,71,82,238
P-171,U4,95,257,0,145,312,93
P-400,U4,0,229,100,52,279,164
P-5,U4,0,82,183,88,146,241
P-220,U4,77,52,0,181,123,44
P-135,U4,188,0,48,233,108,114
P-32,U4,145,257,0,215,301,98
P-381,U4,95,195,49,159,243,118
P-172,U4,117,129,0,188,180,76
P-14,U4,0,143,44,45,224,90
P-48,U4,71,0,183,124,65,231
P-289,U4,117,129,76,187,172,142
P-189,U4,0,146,153,56,209,240
P-317,U4,188,108,0,241,194,50
P-152,U4,168,0,114,235,57,163
P-271,U4,52,209,153,93,301,197
P-87,U4,188,194,0,242,247,107
P-40,U4,187,57,114,232,127,204
P-278,U4,56,146,153,129,190,233
P-146,U4,0,209,164,45,309,220
P-307,U4,56,190,197,138,286,240
P-242,U4,52,243,93,141,312,146
P-78,U4,159,172,107,233,276,149
P-399,U4,69,0,85,114,44,174
P-363,U4,83,57,106,162,124,178
P-66,U4,140,41,48,187,127,98
P-276,U4,124,0,163,193,46,225
P-269,U4,124,46,178,182,120,234
P-261,U4,141,276,98,241,318,175
P-19,U4,129,127,149,216,178,218
P-164,U4,138,178,149,240,218,236
P-192,U4,138,218,149,214,272,223
P-76,U1,0,0,0,40,92,96
P-234,U4,138,272,175,242,315,240
P-169,U1,0,92,0,48,179,94
P-12,U1,0,0,96,80,88,144
P-322,U1,0,179,0,45,245,102
P-331,U1,0,245,0,71,288,88
P-392,U1,0,92,94,87,155,134
P-59,U1,40,0,0,125,79,49
P-170,U1,45,179,0,145,223,81
P-397,U1,0,245,88,80,296,147
P-361,U4,62,129,89,113,194,150
P-156,U1,40,0,49,150,73,96
P-218,U1,45,179,81,135,238,158
P-120,U1,80,0,96,171,74,144
P-337,U1,87,79,0,127,156,102
P-186,U1,80,238,0,164,285,93
P-384,U1,80,238,93,149,311,153
P-99,U1,127,74,0,198,144,68
P-375,U1,125,0,0,222,67,48
P-244,U1,127,74,68,203,136,143
P-194,U1,145,144,0,216,192,109
P-260,U4,188,127,50,237,170,149
P-209,U1,171,0,48,215,72,123
P-198,U1,164,192,0,223,266,84
P-54,U1,164,266,0,223,317,106
P-153,U1,135,136,109,197,200,160
P-354,U1,149,200,106,219,270,158
P-341,U2,0,0,0,72,87,57
P-4,U2,0,87,0,108,162,56
P-339,U2,0,0,57,54,76,133
P-369,U2,0,162,0,84,237,58
P-53,U2,72,0,0,116,53,106
P-39,U2,0,237,0,96,301,61
P-391,U2,0,87,56,65,160,143
P-179,U2,108,53,0,170,126,63
P-334,U2,84,162,0,149,216,99
P-31,U2,116,0,0,187,49,76
P-225,U2,96,216,0,150,284,93
P-398,U2,170,49,0,222,152,85
P-227,U2,116,0,99,189,96,158
P-122,U2,0,160,58,77,206,162
P-149,U2,149,152,0,212,197,104
P-231,U2,0,216,61,96,284,110
P-102,U2,150,197,0,220,303,64
P-335,U2,96,216,93,187,311,150
P-246,U2,77,96,99,137,198,160
P-65,U2,0,206,110,78,316,160
P-77,U2,137,96,104,202,192,154
P-159,U2,65,0,106,115,92,158
P-247,NONE,-1,-1,-1,-1,-1,-1
P-28,NONE,-1,-1,-1,-1,-1,-1
P-373,NONE,-1,-1,-1,-1,-1,-1
P-208,NONE,-1,-1,-1,-1,-1,-1
P-382,NONE,-1,-1,-1,-1,-1,-1
P-351,NONE,-1,-1,-1,-1,-1,-1
P-35,NONE,-1,-1,-1,-1,-1,-1
P-11,NONE,-1,-1,-1,-1,-1,-1
P-367,NONE,-1,-1,-1,-1,-1,-1
P-249,NONE,-1,-1,-1,-1,-1,-1
P-141,NONE,-1,-1,-1,-1,-1,-1
P-386,NONE,-1,-1,-1,-1,-1,-1
P-182,NONE,-1,-1,-1,-1,-1,-1
P-63,NONE,-1,-1,-1,-1,-1,-1
P-342,NONE,-1,-1,-1,-1,-1,-1
P-358,NONE,-1,-1,-1,-1,-1,-1
P-396,NONE,-1,-1,-1,-1,-1,-1
P-155,NONE,-1,-1,-1,-1,-1,-1
P-256,NONE,-1,-1,-1,-1,-1,-1
P-290,NONE,-1,-1,-1,-1,-1,-1
P-58,NONE,-1,-1,-1,-1,-1,-1
P-108,NONE,-1,-1,-1,-1,-1,-1
P-174,NONE,-1,-1,-1,-1,-1,-1
P-166,NONE,-1,-1,-1,-1,-1,-1
P-96,NONE,-1,-1,-1,-1,-1,-1
P-293,NONE,-1,-1,-1,-1,-1,-1
P-144,NONE,-1,-1,-1,-1,-1,-1
P-312,NONE,-1,-1,-1,-1,-1,-1
P-113,NONE,-1,-1,-1,-1,-1,-1
P-34,NONE,-1,-1,-1,-1,-1,-1
P-93,NONE,-1,-1,-1,-1,-1,-1
P-151,NONE,-1,-1,-1,-1,-1,-1
P-62,NONE,-1,-1,-1,-1,-1,-1
P-298,NONE,-1,-1,-1,-1,-1,-1
P-241,NONE,-1,-1,-1,-1,-1,-1
P-301,NONE,-1,-1,-1,-1,-1,-1
P-364,NONE,-1,-1,-1,-1,-1,-1
P-343,NONE,-1,-1,-1,-1,-1,-1
P-263,NONE,-1,-1,-1,-1,-1,-1
P-362,NONE,-1,-1,-1,-1,-1,-1
P-332,NONE,-1,-1,-1,-1,-1,-1
P-33,NONE,-1,-1,-1,-1,-1,-1
P-348,NONE,-1,-1,-1,-1,-1,-1
P-279,NONE,-1,-1,-1,-1,-1,-1
P-61,NONE,-1,-1,-1,-1,-1,-1
P-43,NONE,-1,-1,-1,-1,-1,-1
P-176,NONE,-1,-1,-1,-1,-1,-1
P-79,NONE,-1,-1,-1,-1,-1,-1
P-250,NONE,-1,-1,-1,-1,-1,-1
P-303,NONE,-1,-1,-1,-1,-1,-1
P-395,NONE,-1,-1,-1,-1,-1,-1
P-267,NONE,-1,-1,-1,-1,-1,-1
P-190,NONE,-1,-1,-1,-1,-1,-1
P-328,NONE,-1,-1,-1,-1,-1,-1
P-314,NONE,-1,-1,-1,-1,-1,-1
P-253,NONE,-1,-1,-1,-1,-1,-1
P-240,NONE,-1,-1,-1,-1,-1,-1
P-175,NONE,-1,-1,-1,-1,-1,-1
P-308,NONE,-1,-1,-1,-1,-1,-1
P-340,NONE,-1,-1,-1,-1,-1,-1
P-201,NONE,-1,-1,-1,-1,-1,-1
P-195,NONE,-1,-1,-1,-1,-1,-1
P-115,NONE,-1,-1,-1,-1,-1,-1
P-344,NONE,-1,-1,-1,-1,-1,-1
P-288,NONE,-1,-1,-1,-1,-1,-1
P-131,NONE,-1,-1,-1,-1,-1,-1
P-200,NONE,-1,-1,-1,-1,-1,-1
P-118,NONE,-1,-1,-1,-1,-1,-1
P-140,NONE,-1,-1,-1,-1,-1,-1
P-347,NONE,-1,-1,-1,-1,-1,-1
P-72,NONE,-1,-1,-1,-1,-1,-1
P-204,NONE,-1,-1,-1,-1,-1,-1
P-311,NONE,-1,-1,-1,-1,-1,-1
P-286,NONE,-1,-1,-1,-1,-1,-1
P-229,NONE,-1,-1,-1,-1,-1,-1
P-338,NONE,-1,-1,-1,-1,-1,-1
P-154,NONE,-1,-1,-1,-1,-1,-1
P-281,NONE,-1,-1,-1,-1,-1,-1
P-132,NONE,-1,-1,-1,-1,-1,-1
P-251,NONE,-1,-1,-1,-1,-1,-1
P-239,NONE,-1,-1,-1,-1,-1,-1
P-137,NONE,-1,-1,-1,-1,-1,-1
P-294,NONE,-1,-1,-1,-1,-1,-1
P-325,NONE,-1,-1,-1,-1,-1,-1
P-302,NONE,-1,-1,-1,-1,-1,-1
P-178,NONE,-1,-1,-1,-1,-1,-1
P-60,NONE,-1,-1,-1,-1,-1,-1
P-323,NONE,-1,-1,-1,-1,-1,-1
P-259,NONE,-1,-1,-1,-1,-1,-1
P-389,NONE,-1,-1,-1,-1,-1,-1
P-210,NONE,-1,-1,-1,-1,-1,-1
P-121,NONE,-1,-1,-1,-1,-1,-1
P-91,NONE,-1,-1,-1,-1,-1,-1
P-119,NONE,-1,-1,-1,-1,-1,-1
P-254,NONE,-1,-1,-1,-1,-1,-1
P-268,NONE,-1,-1,-1,-1,-1,-1
P-193,NONE,-1,-1,-1,-1,-1,-1
P-127,NONE,-1,-1,-1,-1,-1,-1
P-213,NONE,-1,-1,-1,-1,-1,-1
P-56,NONE,-1,-1,-1,-1,-1,-1
P-128,NONE,-1,-1,-1,-1,-1,-1
