Package Identifier,Length (cm),Width (cm),Height (cm),Weight (kg),Type (P/E),Cost of Delay
1,67,96,42,32,Economy,93
2,59,78,82,71,Priority,-
3,89,82,46,67,Priority,-
4,59,71,60,36,Economy,100
5,42,69,41,28,Priority,-
6,84,47,57,19,Priority,-
7,80,88,71,122,Economy,65
8,84,80,74,93,Economy,71
9,72,82,44,43,Economy,105
10,96,52,74,47,Economy,68
11,72,45,89,54,Economy,70
12,87,81,83,90,Priority,-
13,52,61,65,24,Economy,75
14,56,74,48,36,Economy,108
15,68,48,55,19,Priority,-
16,98,63,62,95,Economy,68
17,83,67,50,62,Economy,86
18,90,47,89,90,Priority,-
19,79,69,75,50,Priority,-
20,58,71,47,43,Priority,-
21,96,75,99,167,Economy,61
22,50,60,64,18,Priority,-
23,69,47,66,42,Priority,-
24,51,96,48,28,Economy,65
25,70,96,82,114,Priority,-
26,64,40,68,32,Economy,112
27,91,55,95,120,Economy,130
28,76,42,46,17,Economy,70
29,75,69,95,46,Economy,111
30,95,60,44,24,Priority,-
31,63,85,65,45,Economy,138
32,68,88,95,59,Economy,94
33,40,40,99,20,Economy,113
34,41,52,55,14,Economy,132
35,90,61,72,87,Economy,129
36,88,94,89,175,Economy,125
37,90,69,86,76,Economy,66
38,81,41,67,36,Priority,-
39,65,76,86,46,Economy,89
40,62,65,43,18,Economy,61
41,82,46,46,26,Economy,101
42,51,91,58,48,Economy,87
43,65,76,97,96,Economy,125
44,43,80,99,63,Economy,100
45,66,61,80,76,Economy,119
46,70,90,44,70,Economy,101
47,97,52,51,58,Economy,72
48,53,70,71,42,Economy,92
49,45,42,47,9,Economy,102
50,41,53,76,40,Priority,-
51,73,57,68,69,Economy,134
52,58,91,93,56,Priority,-
53,65,46,58,32,Economy,127
54,74,42,75,57,Priority,-
55,98,48,56,49,Economy,109
56,90,87,46,70,Economy,117
57,79,84,72,116,Economy,105
58,44,80,99,37,Priority,-
59,86,89,64,68,Economy,92
60,80,74,72,78,Priority,-
61,84,64,71,77,Economy,87
62,53,96,60,74,Economy,74
63,58,70,62,41,Priority,-
64,91,57,68,81,Economy,72
65,46,82,76,68,Economy,61
66,76,66,51,64,Economy,114
67,85,61,66,80,Economy,79
68,78,81,41,32,Priority,-
69,45,59,49,23,Economy,60
70,83,95,75,66,Economy,77
71,45,45,42,9,Economy,114
72,56,81,80,85,Economy,85
73,96,93,79,62,Economy,124
74,60,73,82,61,Economy,81
75,59,64,56,38,Priority,-
76,47,89,78,71,Economy,137
77,41,85,72,24,Priority,-
78,51,69,67,55,Economy,79
79,55,61,44,25,Economy,93
80,71,96,47,34,Economy,96
81,86,48,87,46,Priority,-
82,69,92,47,29,Economy,129
83,41,73,60,16,Economy,106
84,96,55,49,56,Economy,99
85,59,40,51,15,Economy,69
86,72,62,43,23,Economy,102
87,87,94,82,105,Economy,100
88,77,50,56,47,Priority,-
89,67,42,49,18,Economy,112
90,97,66,74,89,Priority,-
91,85,56,41,35,Economy,90
92,56,76,41,40,Economy,94
93,57,72,68,61,Economy,110
94,68,71,47,19,Economy,104
95,51,50,99,36,Economy,124
96,66,42,70,35,Priority,-
97,99,44,82,54,Priority,-
98,57,80,80,34,Priority,-
99,95,81,70,90,Economy,131
100,61,47,54,18,Economy,137
101,57,57,87,50,Priority,-
102,90,73,81,122,Economy,90
103,65,66,41,25,Economy,84
104,54,67,55,29,Economy,89
105,90,72,78,54,Economy,99
106,62,87,54,40,Economy,81
107,81,62,41,33,Priority,-
