Package Identifier,Length (cm),Width (cm),Height (cm),Weight (kg),Type (P/E),Cost of Delay
P-128,79,102,66,44,Economy,92
P-281,55,84,105,57,Economy,95
P-173,92,81,89,130,Economy,81
P-70,108,101,77,158,Economy,102
P-375,48,67,97,35,Economy,99
P-290,80,69,46,23,Economy,64
P-120,48,91,74,82,Economy,105
P-76,40,92,96,81,Economy,123
P-32,70,44,98,53,Economy,124
P-130,78,45,40,18,Economy,79
P-104,90,95,95,110,Economy,108
P-378,59,53,89,61,Economy,131
P-144,59,72,106,120,Economy,111
P-251,78,44,106,106,Economy,71
P-243,69,77,105,98,Economy,76
P-330,105,106,97,271,Economy,75
P-390,82,106,96,244,Economy,114
P-55,95,93,77,71,Economy,78
P-276,46,69,62,29,Economy,70
P-303,57,62,106,75,Economy,85
P-331,71,43,88,64,Economy,91
P-192,54,76,74,33,Economy,106
P-81,110,101,93,94,Economy,116
P-203,68,106,93,52,Economy,63
P-386,63,110,65,88,Economy,120
P-57,83,64,59,32,Economy,137
P-115,46,105,102,112,Economy,105
P-259,84,72,86,55,Economy,98
P-314,84,53,93,48,Economy,93
P-141,70,43,87,34,Economy,70
P-321,71,78,98,92,Economy,91
P-391,65,87,73,71,Economy,122
P-325,80,63,77,93,Economy,74
P-5,88,58,64,93,Economy,139
P-218,90,77,59,63,Economy,134
P-22,100,92,99,191,Economy,86
P-278,73,44,80,60,Economy,96
P-92,58,58,65,59,Economy,138
P-186,47,84,93,60,Economy,118
P-250,65,59,102,105,Economy,89
P-127,71,78,67,79,Economy,66
P-113,55,86,75,88,Economy,87
P-110,86,88,100,158,Economy,89
P-201,80,106,76,159,Economy,139
P-315,50,75,53,14,Economy,104
P-351,107,41,92,42,Economy,112
P-196,64,107,66,85,Economy,60
P-267,54,97,98,130,Economy,116
P-248,77,67,52,70,Economy,139
P-231,96,68,49,48,Economy,91
P-98,108,63,94,139,Economy,76
P-396,102,109,42,118,Economy,120
P-291,74,81,40,42,Economy,124
P-361,65,61,51,55,Economy,68
P-354,52,70,70,47,Economy,78
P-256,92,64,66,117,Economy,99
P-332,57,103,79,63,Economy,108
P-306,88,91,90,57,Economy,106
P-198,74,59,84,68,Economy,113
P-239,79,85,71,94,Economy,93
P-156,47,73,110,57,Economy,124
P-61,57,109,95,130,Economy,136
P-135,108,66,45,56,Economy,132
P-204,55,88,103,150,Economy,101
P-202,52,94,40,57,Economy,105
P-221,68,44,49,13,Economy,86
P-18,68,101,95,96,Economy,65
P-279,85,99,52,118,Economy,101
P-233,71,59,101,120,Economy,63
P-72,89,83,44,79,Economy,66
P-398,52,103,85,68,Economy,130
P-58,95,102,55,126,Economy,134
P-172,51,71,76,22,Economy,112
P-261,100,77,42,80,Economy,114
P-167,47,50,100,33,Economy,124
P-179,62,73,63,38,Economy,84
P-75,74,43,85,42,Economy,128
P-28,81,64,95,70,Economy,139
P-95,91,69,89,68,Economy,73
P-400,52,50,64,37,Economy,71
P-111,62,103,65,27,Economy,60
P-97,53,53,93,54,Economy,120
P-54,106,51,59,20,Economy,98
P-348,89,77,56,60,Economy,89
P-368,71,99,97,178,Economy,85
P-349,99,104,68,70,Economy,80
P-210,45,93,88,64,Economy,67
P-48,53,65,48,33,Economy,67
P-379,68,89,98,58,Economy,77
P-363,67,72,79,29,Economy,136
P-213,71,50,105,94,Economy,66
P-337,40,77,102,52,Economy,102
P-240,101,88,65,84,Economy,127
P-327,58,96,44,18,Economy,119
P-93,88,68,92,100,Economy,133
P-389,49,95,72,55,Economy,61
P-59,85,79,49,26,Economy,111
P-47,86,58,104,149,Economy,67
P-89,68,109,108,60,Economy,117
P-107,99,100,100,252,Economy,134
P-121,79,108,80,99,Economy,124
P-288,61,101,94,36,Economy,122
P-317,53,86,50,44,Economy,89
P-96,50,65,84,40,Economy,68
P-229,69,81,104,171,Economy,116
P-100,100,62,87,104,Economy,79
P-377,101,88,105,118,Economy,80
P-359,101,86,98,188,Economy,103
P-161,78,97,62,127,Economy,67
P-160,108,82,99,232,Economy,84
