Package Identifier,Length (cm),Width (cm),Height (cm),Weight (kg),Type (P/E),Cost of Delay
P-252,48,110,95,139,Priority,-
P-183,105,72,57,37,Priority,-
P-270,52,70,47,12,Priority,-
P-310,65,59,43,15,Priority,-
P-365,88,110,95,217,Priority,-
P-106,90,54,92,100,Priority,-
P-282,107,92,54,147,Priority,-
P-236,91,56,56,57,Priority,-
P-219,94,61,76,57,Priority,-
P-265,47,60,58,37,Priority,-
P-69,84,47,54,57,Priority,-
P-394,109,90,81,68,Priority,-
P-157,88,88,54,30,Priority,-
P-105,80,95,103,225,Priority,-
P-226,60,72,74,27,Priority,-
P-199,58,67,73,59,Priority,-
P-238,50,69,102,74,Priority,-
P-103,44,78,102,84,Priority,-
P-295,49,109,69,32,Priority,-
P-45,91,72,81,92,Priority,-
P-68,92,46,81,62,Priority,-
P-280,90,61,53,75,Priority,-
P-16,48,93,63,82,Priority,-
P-350,85,60,69,52,Priority,-
P-275,74,77,45,31,Priority,-
P-297,103,101,68,149,Priority,-
P-86,65,63,41,50,Priority,-
P-181,98,58,57,93,Priority,-
P-73,104,86,63,79,Priority,-
P-82,66,71,97,130,Priority,-
P-329,94,65,58,26,Priority,-
P-17,83,63,57,29,Priority,-
P-188,86,51,51,12,Priority,-
P-346,83,95,110,54,Priority,-
P-360,80,76,53,23,Priority,-
P-283,100,97,66,79,Priority,-
P-222,88,73,41,59,Priority,-
P-133,63,109,91,174,Priority,-
P-162,46,104,65,36,Priority,-
P-187,54,84,78,97,Priority,-
P-3,42,101,51,17,Priority,-
P-94,67,98,66,95,Priority,-
P-134,80,88,97,150,Priority,-
P-124,54,104,72,96,Priority,-
P-117,52,49,65,33,Priority,-
P-148,67,100,49,50,Priority,-
P-333,100,85,72,59,Priority,-
P-299,83,87,80,55,Priority,-
P-255,64,98,96,78,Priority,-
P-125,68,85,91,139,Priority,-
P-232,67,84,47,38,Priority,-
P-284,70,110,52,86,Priority,-
P-23,51,50,110,59,Priority,-
P-109,98,79,44,53,Priority,-
P-285,81,108,54,78,Priority,-
P-145,75,106,79,66,Priority,-
P-353,66,61,70,33,Priority,-
P-264,60,68,108,35,Priority,-
P-304,51,68,89,31,Priority,-
P-136,47,66,102,36,Priority,-
P-216,44,64,83,57,Priority,-
P-6,91,56,84,47,Priority,-
P-277,54,108,105,93,Priority,-
P-46,71,62,94,39,Priority,-
P-2,56,99,81,53,Priority,-
P-207,70,45,95,46,Priority,-
P-180,80,71,59,43,Priority,-
P-168,68,87,88,109,Priority,-
P-224,68,99,56,103,Priority,-
P-139,96,84,75,123,Priority,-
P-217,78,74,72,97,Priority,-
P-274,75,88,110,114,Priority,-
P-20,88,106,56,71,Priority,-
P-366,56,71,105,112,Priority,-
P-215,87,89,80,126,Priority,-
P-300,97,69,101,57,Priority,-
P-266,61,88,53,37,Priority,-
P-71,99,43,60,41,Priority,-
P-214,58,81,61,40,Priority,-
P-49,69,40,100,55,Priority,-
P-345,43,78,47,43,Priority,-
P-212,105,74,48,96,Priority,-
P-112,63,79,67,20,Priority,-
P-129,110,59,85,64,Priority,-
P-319,48,102,101,144,Priority,-
P-36,86,80,78,146,Priority,-
P-15,84,49,60,57,Priority,-
P-320,64,53,57,55,Priority,-
P-10,88,70,85,81,Priority,-
P-163,49,83,83,45,Priority,-
P-352,89,43,66,32,Priority,-
P-150,54,42,58,12,Priority,-
P-147,65,46,55,36,Priority,-
P-356,77,99,95,133,Priority,-
P-42,62,109,41,46,Priority,-
P-50,73,104,64,75,Priority,-
P-273,85,79,71,127,Priority,-
P-165,103,96,93,267,Priority,-
P-126,85,64,60,94,Priority,-
P-211,96,95,81,142,Priority,-
P-9,73,71,88,50,Priority,-
P-41,104,90,68,72,Priority,-
P-142,92,74,83,169,Priority,-
