Package Identifier,Length (cm),Width (cm),Height (cm),Weight (kg),Type (P/E),Cost of Delay
# U11,112,159,162,625,Economy,0
# U12,112,159,162,625,Economy,0
# U13,112,159,162,625,Economy,0
# U14,112,159,162,625,Economy,0
# U21,112,159,162,625,Economy,0
# U22,112,159,162,625,Economy,0
# U23,112,159,162,625,Economy,0
# U24,112,159,162,625,Economy,0
# U31,112,159,112,350,Economy,0
# U32,112,159,112,350,Economy,0
# U33,112,159,112,350,Economy,0
# U34,112,159,112,350,Economy,0
# U35,112,159,112,350,Economy,0
# U36,112,159,112,350,Economy,0
# U37,112,159,112,350,Economy,0
# U38,112,159,112,350,Economy,0
# U4,244,318,244,2800
# U5,244,318,285,3500
# U6,244,318,285,3500
