Package Identifier,Length (cm),Width (cm),Height (cm),Weight (kg),Type (P/E),Cost of Delay
P-99,71,70,68,28,Economy,108
P-288,61,101,94,36,Economy,122
P-261,100,77,42,80,Economy,114
P-81,110,101,93,94,Economy,116
P-341,72,87,57,50,Economy,109
P-313,91,54,54,73,Economy,120
P-84,94,66,78,41,Economy,82
P-25,44,77,53,37,Economy,108
P-153,62,64,51,59,Economy,62
P-176,60,62,102,42,Economy,87
P-326,84,51,45,17,Economy,136
P-254,99,51,79,101,Economy,72
P-349,99,104,68,70,Economy,80
P-52,104,88,102,96,Economy,121
P-26,69,56,73,56,Economy,130
P-64,100,56,104,123,Economy,62
P-210,45,93,88,64,Economy,67
P-379,68,89,98,58,Economy,77
P-30,88,85,102,164,Economy,70
P-169,48,87,94,102,Economy,136
P-273,85,79,71,127,Priority,-
P-207,70,45,95,46,Priority,-
P-300,97,69,101,57,Priority,-
P-134,80,88,97,150,Priority,-
P-150,54,42,58,12,Priority,-
P-105,80,95,103,225,Priority,-
P-285,81,108,54,78,Priority,-
P-283,100,97,66,79,Priority,-
P-211,96,95,81,142,Priority,-
P-36,86,80,78,146,Priority,-
P-2,56,99,81,53,Priority,-
P-319,48,102,101,144,Priority,-
P-295,49,109,69,32,Priority,-
P-133,63,109,91,174,Priority,-
P-124,54,104,72,96,Priority,-
P-217,78,74,72,97,Priority,-
P-94,67,98,66,95,Priority,-
P-86,65,63,41,50,Priority,-
P-165,103,96,93,267,Priority,-
P-103,44,78,102,84,Priority,-
